check	status	exit_code	evidence
fresh_lean_compile_and_export	PASS	0	logs/phase6/final/lean-searcharg.log
lean_exact_type_and_axiom_guard	PASS	0	logs/phase6/final/lean-type-and-axiom-audit.log
nat_find_acc_ax_absent	PASS	0	results/phase6/artifacts/SearchArg.natfind-free.out
stock_rocq90_import	PASS	0	logs/phase6/final/ImportedSearchArg.log
searcharg_definition_certificate	PASS	0	logs/phase6/final/SearchArgDefinitionCertificate.log
searcharg_statement_certificate	PASS	0	logs/phase6/final/SearchArgStatementCertificate.log
searcharg_assumption_audit	PASS	0	results/phase6/searcharg_assumption_audit.json
normal_universe_and_elimination_negative_tests	PASS	0	logs/phase6/final/SearchArgRocqAudit.log
rocqchk_type_in_type	PASS_NONE	0	logs/phase6/final/rocqchk-imported-searcharg.log
rocqchk_unsafe_fixpoints	PASS_NONE	0	logs/phase6/final/rocqchk-imported-searcharg.log
rocqchk_assumed_positivity	PASS_NONE	0	logs/phase6/final/rocqchk-imported-searcharg.log
rocqchk_additional_axioms	PASS_NONE	0	logs/phase6/final/rocqchk-axiom-delta.log
full_searcharg_certification	PASS	0	SEARCHARG_ROCQ90_FULLY_CERTIFIED
